2024-01-01 00:00:00 0.254325
2024-01-02 00:00:00 0.239377
2024-01-03 00:00:00 0.279803
2024-01-04 00:00:00 0.268899
2024-01-05 00:00:00 0.277382
2024-01-06 00:00:00 0.255162
2024-01-07 00:00:00 0.254838
2024-01-08 00:00:00 0.238600
2024-01-09 00:00:00 0.237694
2024-01-10 00:00:00 0.253272
2024-01-11 00:00:00 0.250555
2024-01-12 00:00:00 0.280778
2024-01-13 00:00:00 0.258486
2024-01-14 00:00:00 0.270452
2024-01-15 00:00:00 0.303309
2024-01-16 00:00:00 0.295419
2024-01-17 00:00:00 0.279331
2024-01-18 00:00:00 0.304503
2024-01-19 00:00:00 0.303123
2024-01-20 00:00:00 0.299704
2024-01-21 00:00:00 0.282155
2024-01-22 00:00:00 0.297799
2024-01-23 00:00:00 0.297775
2024-01-24 00:00:00 0.309043
2024-01-25 00:00:00 0.322159
2024-01-26 00:00:00 0.322174
2024-01-27 00:00:00 0.328971
2024-01-28 00:00:00 0.318317
2024-01-29 00:00:00 0.323265
2024-01-30 00:00:00 0.325834
2024-01-31 00:00:00 0.360422
2024-02-01 00:00:00 0.352876
2024-02-02 00:00:00 0.361804
2024-02-03 00:00:00 0.361159
2024-02-04 00:00:00 0.363108
2024-02-05 00:00:00 0.359325
2024-02-06 00:00:00 0.370408
2024-02-07 00:00:00 0.358416
2024-02-08 00:00:00 0.372014
2024-02-09 00:00:00 0.353154
2024-02-10 00:00:00 0.350908
2024-02-11 00:00:00 0.379845
2024-02-12 00:00:00 0.377481
2024-02-13 00:00:00 0.419404
2024-02-14 00:00:00 0.387224
2024-02-15 00:00:00 0.374184
2024-02-16 00:00:00 0.384070
2024-02-17 00:00:00 0.408793
2024-02-18 00:00:00 0.426456
2024-02-19 00:00:00 0.425681
2024-02-20 00:00:00 0.401100
2024-02-21 00:00:00 0.385277
2024-02-22 00:00:00 0.381405
2024-02-23 00:00:00 0.430081
2024-02-24 00:00:00 0.438411
2024-02-25 00:00:00 0.442354
2024-02-26 00:00:00 0.442897
2024-02-27 00:00:00 0.441574
2024-02-28 00:00:00 0.421417
2024-02-29 00:00:00 0.428570
2024-03-01 00:00:00 0.433338
2024-03-02 00:00:00 0.461790
2024-03-03 00:00:00 0.504261
2024-03-04 00:00:00 0.471583
2024-03-05 00:00:00 0.440932
2024-03-06 00:00:00 0.447537
2024-03-07 00:00:00 0.461671
2024-03-08 00:00:00 0.456977
2024-03-09 00:00:00 0.528901
2024-03-10 00:00:00 0.520743
2024-03-11 00:00:00 0.507446
2024-03-12 00:00:00 0.526515
2024-03-13 00:00:00 0.544120
2024-03-14 00:00:00 0.517925
2024-03-15 00:00:00 0.522260
2024-03-16 00:00:00 0.526489
2024-03-17 00:00:00 0.567322
2024-03-18 00:00:00 0.565127
